img,building_percent,overlap_percent
661,0.0,37.72
662,1.09,20.77
663,1.4,14.15
664,1.47,40.05
665,0.0,41.81
666,0.0,48.88
667,0.0,37.89
668,0.0,42.11
669,0.79,21.92
66,0.22,36.66
670,0.0,28.08
671,0.0,16.92
672,0.0,30.78
673,0.6,28.68
674,0.77,17.78
675,0.3,17.79
676,4.66,56.05
677,0.04,36.08
678,0.03,36.17
679,0.0,51.3
67,2.55,14.88
680,0.7,21.39
681,0.63,41.05
682,0.0,36.67
683,5.48,28.62
684,0.0,19.8
685,0.0,37.42
686,0.0,33.87
687,0.0,39.55
688,0.8,24.62
689,1.62,18.39
68,1.23,17.86
690,0.2,18.16
691,0.02,7.68
692,0.0,37.66
693,0.28,26.89
694,0.01,27.19
695,0.92,12.49
696,0.44,13.16
697,0.04,36.07
698,0.78,25.73
699,0.44,12.67
69,0.73,16.13
6,2.6,24.66
700,0.0,41.77
701,1.17,17.27
702,2.48,48.28
703,0.0,17.21
704,0.78,37.32
705,0.84,6.99
706,0.17,31.35
707,0.0,19.29
708,2.69,28.88
709,1.67,40.13
70,0.42,30.82
710,1.04,19.13
711,2.69,28.88
712,1.11,19.11
713,2.4,24.09
714,2.25,14.23
715,0.98,30.86
716,0.07,7.92
717,0.0,6.74
718,1.25,18.22
719,0.26,19.19
71,0.0,18.88
720,0.05,15.5
721,0.18,32.71
722,0.42,18.33
723,0.14,6.49
724,0.02,33.08
725,0.63,42.67
726,0.0,37.43
727,0.41,5.26
728,0.38,12.83
729,0.03,11.11
72,0.0,25.45
730,0.0,27.93
731,2.0,10.29
732,0.78,25.12
733,0.39,36.03
734,0.06,32.08
735,1.92,14.69
736,0.19,24.76
737,0.39,36.03
738,1.35,19.68
739,0.05,10.75
73,6.58,22.72
740,0.11,9.9
741,1.06,19.72
742,0.09,20.69
743,0.52,15.56
744,0.82,22.25
745,0.84,19.11
746,1.84,32.24
747,1.47,10.86
748,1.57,28.06
749,1.95,19.67
74,1.15,40.99
750,0.31,30.4
751,0.0,25.96
752,1.1,14.28
753,0.41,23.39
754,0.33,13.36
755,1.66,25.94
756,0.02,11.13
757,2.05,25.25
758,1.56,18.34
759,0.86,22.85
75,1.99,16.5
760,0.84,10.21
761,5.33,14.62
762,0.84,10.21
763,1.1,21.42
764,0.05,34.72
765,3.27,27.41
766,2.05,10.04
767,0.52,7.9
768,0.84,10.21
769,2.65,41.05
76,0.0,22.89
770,0.84,10.21
771,0.84,10.21
772,0.0,50.28
773,15.3,41.41
774,0.61,12.14
775,0.66,19.48
776,0.84,10.21
777,0.07,10.36
778,4.06,16.1
779,3.59,11.64
77,1.73,44.04
78,2.42,66.79
79,0.0,15.49
7,1.98,9.79
80,0.55,22.02
81,0.15,15.58
82,2.38,14.06
83,2.39,48.33
84,0.92,19.58
85,0.0,34.45
86,0.33,7.4
87,0.0,18.83
88,0.24,10.83
89,0.17,32.29
8,0.21,21.59
90,5.02,14.65
91,0.45,4.79
92,0.0,15.2
93,0.62,8.68
94,1.3,15.55
95,2.46,15.76
96,2.39,48.33
97,1.27,26.36
98,0.23,7.69
99,0.86,9.8
9,4.67,18.69
